pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Keratan sulfate degradation	2	9	0.22586337282581295	E753,E636	C01074/C01132/C00645/C00140,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Vitamin B3 (nicotinate and nicotinamide) metabolism	3	16	0.24174439122762792	E385,E951,E610	C00217/C00025/C00302/C05938,C00020/C00362,C00062/C00792	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$AMP/dGMP$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid
Valine, leucine and isoleucine degradation	3	17	0.2680447021258718	E146,E385,E951	,C00217/C00025/C00302/C05938,C00020/C00362	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$AMP/dGMP
Butanoate metabolism	3	17	0.2680447021258718	E146,E385,E951	,C00217/C00025/C00302/C05938,C00020/C00362	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$AMP/dGMP
Omega-3 fatty acid metabolism	1	4	0.275186959079069	E951	C00020/C00362	AMP/dGMP
Fatty acid oxidation, peroxisome	1	4	0.275186959079069	E146		
Keratan sulfate biosynthesis	1	4	0.275186959079069	E907	C00128	CMP-N-acetylneuraminate
Bile acid biosynthesis	2	11	0.2893034198806823	E1028,E951	,C00020/C00362	$AMP/dGMP
Pyrimidine metabolism	5	33	0.31123435005461725	E276,E951,E385,E1438,E562	,C00020/C00362,C00217/C00025/C00302/C05938,C00239,C00074	$AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$dCMP$Phosphoenolpyruvate
Fructose and mannose metabolism	2	12	0.31846063356020504	E108,E636	C00577/C00256/C01013/C00186/C00184,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Vitamin H (biotin) metabolism	1	5	0.32484665154188724	E951	C00020/C00362	AMP/dGMP
Saturated fatty acids beta-oxidation	1	5	0.32484665154188724	E1292	C02990	L-Palmitoylcarnitine
Prostaglandin formation from arachidonate	2	13	0.34400470548693385	E450,E951	C00051,C00020/C00362	Reduced glutathione$AMP/dGMP
Vitamin B1 (thiamin) metabolism	1	6	0.36324678598437105	E951	C00020/C00362	AMP/dGMP
Nitrogen metabolism	1	6	0.36324678598437105	E385	C00217/C00025/C00302/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Urea cycle/amino group metabolism	6	48	0.4080329384085371	E376,E610,E912,E385,E1419,E605	CE5586/C00315,C00062/C00792,C00170,C00217/C00025/C00302/C05938,,C00327	dehydrospermidine/Spermidine$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$5-Methylthioadenosine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
Androgen and estrogen biosynthesis and metabolism	1	8	0.41072178808503484	E450	C00051	Reduced glutathione
De novo fatty acid biosynthesis	1	8	0.41072178808503484	E951	C00020/C00362	AMP/dGMP
Fatty acid activation	1	8	0.41072178808503484	E951	C00020/C00362	AMP/dGMP
Tyrosine metabolism	9	73	0.4241660364675237	E938,E884,E1223,E639,E951,E450,E385,E550,E705	,C00127,,,C00020/C00362,C00051,C00217/C00025/C00302/C05938,C00079,	$Oxidized glutathione$$$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Phenylalanine$
Biopterin metabolism	1	9	0.43038400134442484	E550	C00079	L-Phenylalanine
Vitamin A (retinol) metabolism	1	9	0.43038400134442484	E951	C00020/C00362	AMP/dGMP
Selenoamino acid metabolism	1	9	0.43038400134442484	E951	C00020/C00362	AMP/dGMP
Lysine metabolism	3	28	0.4444164355936476	E146,E951,E385	,C00020/C00362,C00217/C00025/C00302/C05938	$AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Porphyrin metabolism	1	11	0.4577766574237459	E617		
Carbon fixation	1	11	0.4577766574237459	E562	C00074	Phosphoenolpyruvate
Phosphatidylinositol phosphate metabolism	1	13	0.47525418032098143	E636	C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Linoleate metabolism	2	29	0.48962272077976643	E884,E450	C00127,C00051	Oxidized glutathione$Reduced glutathione
Xenobiotics metabolism	3	43	0.4934039156373414	E961,E1233,E450	,,C00051	$$Reduced glutathione
R Group Synthesis	0	0	0.5002100663809764			
Squalene and cholesterol biosynthesis	0	4	0.5002100663809764			
Glycerolipid metabolism	0	0	0.5002100663809764			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.5002100663809764			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	2	0.5002100663809764			
Parathio degradation	0	4	0.5002100663809764			
Electron transport chain	0	0	0.5002100663809764			
Caffeine metabolism	0	3	0.5002100663809764			
Heparan sulfate biosynthesis	0	0	0.5002100663809764			
Glyoxylate and Dicarboxylate Metabolism	0	5	0.5002100663809764			
Fatty Acid Metabolism	0	4	0.5002100663809764			
Glycosaminoglycan degradation	0	0	0.5002100663809764			
Fatty acid oxidation	0	0	0.5002100663809764			
ROS Detoxification	0	0	0.5002100663809764			
Geraniol degradation	0	0	0.5002100663809764			
Vitamin D	0	0	0.5002100663809764			
Dynorphin metabolism	0	1	0.5002100663809764			
Polyunsaturated fatty acid biosynthesis	0	0	0.5002100663809764			
3-Chloroacrylic acid degradation	0	1	0.5002100663809764			
Sphingolipid metabolism	0	0	0.5002100663809764			
Limonene and pinene degradation	0	7	0.5002100663809764			
Proteoglycan biosynthesis	0	2	0.5002100663809764			
Vitamin K metabolism	0	0	0.5002100663809764			
Benzoate degradation via CoA ligation	0	3	0.5002100663809764			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	2	0.5002100663809764			
Vitamin B6 (pyridoxine) metabolism	0	7	0.5002100663809764			
Pentose and Glucuronate Interconversions	0	8	0.5002100663809764			
Atrazine degradation	0	0	0.5002100663809764			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.5002100663809764			
Nucleotide Sugar Metabolism	0	2	0.5002100663809764			
1- and 2-Methylnaphthalene degradation	0	2	0.5002100663809764			
Drug metabolism - other enzymes	0	6	0.5002100663809764			
Prostaglandin formation from dihomo gama-linoleic acid	0	3	0.5002100663809764			
C21-steroid hormone biosynthesis and metabolism	0	8	0.5002100663809764			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.5002100663809764			
