pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Glycine, serine, alanine and threonine metabolism	6	35	0.2011426650983028	E951,E385,E610,E108,E736,E450	C00020/C00362,C00217/C00025/C00302/C05938,C00062/C00792,C00577/C00256/C01013/C00186/C00184,,C00051	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$$Reduced glutathione
Vitamin B3 (nicotinate and nicotinamide) metabolism	3	16	0.216098134767266	E951,E385,E610	C00020/C00362,C00217/C00025/C00302/C05938,C00062/C00792	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid
Valine, leucine and isoleucine degradation	3	17	0.2399596706435893	E951,E385,E146	C00020/C00362,C00217/C00025/C00302/C05938,	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$
Butanoate metabolism	3	17	0.2399596706435893	E951,E385,E146	C00020/C00362,C00217/C00025/C00302/C05938,	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$
Omega-3 fatty acid metabolism	1	4	0.24836161989581582	E951	C00020/C00362	AMP/dGMP
Fatty acid oxidation, peroxisome	1	4	0.24836161989581582	E146		
Keratan sulfate biosynthesis	1	4	0.24836161989581582	E907	C00128	CMP-N-acetylneuraminate
Bile acid biosynthesis	2	11	0.2570996471181314	E951,E1028	C00020/C00362,	AMP/dGMP$
Pyrimidine metabolism	5	33	0.27726432532347506	E562,E276,E951,E1438,E385	C00074,CE0520/C01801,C00020/C00362,C00239,C00217/C00025/C00302/C05938	Phosphoenolpyruvate$(R)-glycerol 1-acetate/Deoxyribose$AMP/dGMP$dCMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Fructose and mannose metabolism	2	12	0.2875147034111914	E108,E636	C00577/C00256/C01013/C00186/C00184,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Vitamin H (biotin) metabolism	1	5	0.29322802890270544	E951	C00020/C00362	AMP/dGMP
Saturated fatty acids beta-oxidation	1	5	0.29322802890270544	E1292	C02990	L-Palmitoylcarnitine
Prostaglandin formation from arachidonate	2	13	0.31490505797344986	E951,E450	C00020/C00362,C00051	AMP/dGMP$Reduced glutathione
Vitamin B1 (thiamin) metabolism	1	6	0.3350697361787935	E951	C00020/C00362	AMP/dGMP
Nitrogen metabolism	1	6	0.3350697361787935	E385	C00217/C00025/C00302/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Urea cycle/amino group metabolism	6	48	0.3811124180809948	E605,E912,E1419,E376,E610,E385	C00327,C00170,,CE5586/C00315,C00062/C00792,C00217/C00025/C00302/C05938	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$5-Methylthioadenosine$$dehydrospermidine/Spermidine$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Androgen and estrogen biosynthesis and metabolism	1	8	0.38699378255755335	E450	C00051	Reduced glutathione
De novo fatty acid biosynthesis	1	8	0.38699378255755335	E951	C00020/C00362	AMP/dGMP
Fatty acid activation	1	8	0.38699378255755335	E951	C00020/C00362	AMP/dGMP
Tyrosine metabolism	9	73	0.3982523945555369	E705,E938,E884,E1223,E951,E639,E385,E450,E550	,,C00127,,C00020/C00362,,C00217/C00025/C00302/C05938,C00051,C00079	$$Oxidized glutathione$$AMP/dGMP$$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$Reduced glutathione$L-Phenylalanine
Biopterin metabolism	1	9	0.40514199294236264	E550	C00079	L-Phenylalanine
Vitamin A (retinol) metabolism	1	9	0.40514199294236264	E951	C00020/C00362	AMP/dGMP
Selenoamino acid metabolism	1	9	0.40514199294236264	E951	C00020/C00362	AMP/dGMP
Lysine metabolism	3	28	0.4216098134767266	E951,E385,E146	C00020/C00362,C00217/C00025/C00302/C05938,	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$
Porphyrin metabolism	1	11	0.4363972441606453	E617		
Carbon fixation	1	11	0.4363972441606453	E562	C00074	Phosphoenolpyruvate
Phosphatidylinositol phosphate metabolism	1	13	0.4538732986052764	E636	C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Linoleate metabolism	2	29	0.4705091581246849	E884,E450	C00127,C00051	Oxidized glutathione$Reduced glutathione
Xenobiotics metabolism	3	43	0.4745420937657537	E1233,E961,E450	,,C00051	$$Reduced glutathione
R Group Synthesis	0	0	0.47891110737691145			
Squalene and cholesterol biosynthesis	0	4	0.47891110737691145			
Glycerolipid metabolism	0	0	0.47891110737691145			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.47891110737691145			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	2	0.47891110737691145			
Parathio degradation	0	4	0.47891110737691145			
Electron transport chain	0	0	0.47891110737691145			
Caffeine metabolism	0	3	0.47891110737691145			
Heparan sulfate biosynthesis	0	0	0.47891110737691145			
Glyoxylate and Dicarboxylate Metabolism	0	5	0.47891110737691145			
Fatty Acid Metabolism	0	4	0.47891110737691145			
Glycosaminoglycan degradation	0	0	0.47891110737691145			
Fatty acid oxidation	0	0	0.47891110737691145			
ROS Detoxification	0	0	0.47891110737691145			
Geraniol degradation	0	0	0.47891110737691145			
Vitamin D	0	0	0.47891110737691145			
Dynorphin metabolism	0	1	0.47891110737691145			
Polyunsaturated fatty acid biosynthesis	0	0	0.47891110737691145			
3-Chloroacrylic acid degradation	0	1	0.47891110737691145			
Sphingolipid metabolism	0	0	0.47891110737691145			
Limonene and pinene degradation	0	7	0.47891110737691145			
Proteoglycan biosynthesis	0	2	0.47891110737691145			
Vitamin K metabolism	0	0	0.47891110737691145			
Benzoate degradation via CoA ligation	0	3	0.47891110737691145			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	2	0.47891110737691145			
Vitamin B6 (pyridoxine) metabolism	0	7	0.47891110737691145			
Pentose and Glucuronate Interconversions	0	8	0.47891110737691145			
Atrazine degradation	0	0	0.47891110737691145			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.47891110737691145			
Nucleotide Sugar Metabolism	0	2	0.47891110737691145			
1- and 2-Methylnaphthalene degradation	0	2	0.47891110737691145			
Drug metabolism - other enzymes	0	6	0.47891110737691145			
Prostaglandin formation from dihomo gama-linoleic acid	0	3	0.47891110737691145			
C21-steroid hormone biosynthesis and metabolism	0	8	0.47891110737691145			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.47891110737691145			
