pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Glycine, serine, alanine and threonine metabolism	6	35	0.19206855990589816	E610,E108,E736,E951,E450,E385	C00062/C00792,C00577/C00256/C01013/C00186/C00184,,C00020/C00362,C00051,C00217/C00025/C00302/C05938	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Vitamin B3 (nicotinate and nicotinamide) metabolism	3	16	0.20299109393379264	E951,E385,E610	C00020/C00362,C00217/C00025/C00302/C05938,C00062/C00792	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid
Valine, leucine and isoleucine degradation	3	17	0.22853301966056125	E146,E385,E951	,C00217/C00025/C00302/C05938,C00020/C00362	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$AMP/dGMP
Butanoate metabolism	3	17	0.22853301966056125	E146,E385,E951	,C00217/C00025/C00302/C05938,C00020/C00362	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$AMP/dGMP
Omega-3 fatty acid metabolism	1	4	0.23777516383801042	E951	C00020/C00362	AMP/dGMP
Fatty acid oxidation, peroxisome	1	4	0.23777516383801042	E146		
Keratan sulfate biosynthesis	1	4	0.23777516383801042	E907	C00128	CMP-N-acetylneuraminate
Bile acid biosynthesis	2	11	0.24785750294068223	E951,E1028	C00020/C00362,	AMP/dGMP$
Pyrimidine metabolism	5	33	0.2698706099815157	E951,E385,E562,E276,E1438	C00020/C00362,C00217/C00025/C00302/C05938,C00074,CE0520/C01801,C00239	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$Phosphoenolpyruvate$(R)-glycerol 1-acetate/Deoxyribose$dCMP
Fructose and mannose metabolism	2	12	0.2774323643085196	E636,E108	C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00577/C00256/C01013/C00186/C00184	D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone
Vitamin H (biotin) metabolism	1	5	0.28499411863552343	E951	C00020/C00362	AMP/dGMP
Saturated fatty acids beta-oxidation	1	5	0.28499411863552343	E1292	C02990	L-Palmitoylcarnitine
Prostaglandin formation from arachidonate	2	13	0.3024701730801546	E450,E951	C00051,C00020/C00362	Reduced glutathione$AMP/dGMP
Vitamin B1 (thiamin) metabolism	1	6	0.3191060325995631	E951	C00020/C00362	AMP/dGMP
Nitrogen metabolism	1	6	0.3191060325995631	E385	C00217/C00025/C00302/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Urea cycle/amino group metabolism	6	48	0.3661569484120316	E610,E912,E385,E605,E1419,E376	C00062/C00792,C00170,C00217/C00025/C00302/C05938,C00327,,CE5586/C00315	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$5-Methylthioadenosine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$$dehydrospermidine/Spermidine
Androgen and estrogen biosynthesis and metabolism	1	8	0.3700218450680558	E450	C00051	Reduced glutathione
De novo fatty acid biosynthesis	1	8	0.3700218450680558	E951	C00020/C00362	AMP/dGMP
Fatty acid activation	1	8	0.3700218450680558	E951	C00020/C00362	AMP/dGMP
Tyrosine metabolism	9	73	0.3817845740211729	E884,E1223,E639,E951,E450,E385,E705,E550,E938	C00127,,,C00020/C00362,C00051,C00217/C00025/C00302/C05938,,C00079,	Oxidized glutathione$$$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$$L-Phenylalanine$
Biopterin metabolism	1	9	0.39237103007897833	E550	C00079	L-Phenylalanine
Vitamin A (retinol) metabolism	1	9	0.39237103007897833	E951	C00020/C00362	AMP/dGMP
Selenoamino acid metabolism	1	9	0.39237103007897833	E951	C00020/C00362	AMP/dGMP
Lysine metabolism	3	28	0.410015123508654	E951,E385,E146	C00020/C00362,C00217/C00025/C00302/C05938,	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$
Porphyrin metabolism	1	11	0.4244664762224836	E617		
Carbon fixation	1	11	0.4244664762224836	E562	C00074	Phosphoenolpyruvate
Phosphatidylinositol phosphate metabolism	1	13	0.4417744916820702	E636	C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Linoleate metabolism	2	29	0.45672996135103344	E450,E884	C00051,C00127	Reduced glutathione$Oxidized glutathione
Xenobiotics metabolism	3	43	0.46076289699210216	E450,E961,E1233	C00051,,	Reduced glutathione$$
R Group Synthesis	0	0	0.46731641740883884			
Squalene and cholesterol biosynthesis	0	4	0.46731641740883884			
Glycerolipid metabolism	0	0	0.46731641740883884			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.46731641740883884			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	2	0.46731641740883884			
Parathio degradation	0	4	0.46731641740883884			
Electron transport chain	0	0	0.46731641740883884			
Caffeine metabolism	0	3	0.46731641740883884			
Heparan sulfate biosynthesis	0	0	0.46731641740883884			
Glyoxylate and Dicarboxylate Metabolism	0	5	0.46731641740883884			
Fatty Acid Metabolism	0	4	0.46731641740883884			
Glycosaminoglycan degradation	0	0	0.46731641740883884			
Fatty acid oxidation	0	0	0.46731641740883884			
ROS Detoxification	0	0	0.46731641740883884			
Geraniol degradation	0	0	0.46731641740883884			
Vitamin D	0	0	0.46731641740883884			
Dynorphin metabolism	0	1	0.46731641740883884			
Polyunsaturated fatty acid biosynthesis	0	0	0.46731641740883884			
3-Chloroacrylic acid degradation	0	1	0.46731641740883884			
Sphingolipid metabolism	0	0	0.46731641740883884			
Limonene and pinene degradation	0	7	0.46731641740883884			
Proteoglycan biosynthesis	0	2	0.46731641740883884			
Vitamin K metabolism	0	0	0.46731641740883884			
Benzoate degradation via CoA ligation	0	3	0.46731641740883884			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	2	0.46731641740883884			
Vitamin B6 (pyridoxine) metabolism	0	7	0.46731641740883884			
Pentose and Glucuronate Interconversions	0	8	0.46731641740883884			
Atrazine degradation	0	0	0.46731641740883884			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.46731641740883884			
Nucleotide Sugar Metabolism	0	2	0.46731641740883884			
1- and 2-Methylnaphthalene degradation	0	2	0.46731641740883884			
Drug metabolism - other enzymes	0	6	0.46731641740883884			
Prostaglandin formation from dihomo gama-linoleic acid	0	3	0.46731641740883884			
C21-steroid hormone biosynthesis and metabolism	0	8	0.46731641740883884			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.46731641740883884			
